lambda,ipRGC,L,M,S
380,0.00001,0.000007,0.000008,0.000097
385,0.000019,0.000012,0.000014,0.000189
390,0.000035,0.000021,0.000023,0.000365
395,0.000067,0.000036,0.00004,0.000699
400,0.00013,0.000061,0.000069,0.001321
405,0.00026,0.000105,0.000121,0.002492
410,0.000526,0.000181,0.000213,0.004649
415,0.000906,0.000264,0.000322,0.007235
420,0.001565,0.000385,0.000496,0.01112
425,0.002134,0.000448,0.000618,0.013325
430,0.002895,0.000528,0.000788,0.015718
435,0.003658,0.000594,0.00096,0.017072
440,0.00458,0.000682,0.001189,0.018157
445,0.005406,0.000763,0.001418,0.017937
450,0.006315,0.000871,0.001701,0.017226
455,0.007182,0.000998,0.002012,0.015755
460,0.008076,0.001161,0.002375,0.013879
465,0.008956,0.001361,0.002785,0.01169
470,0.009812,0.001605,0.003244,0.009394
475,0.010467,0.001871,0.003699,0.007086
480,0.011013,0.002177,0.004184,0.005091
485,0.011299,0.002497,0.004644,0.003462
490,0.011406,0.002848,0.005112,0.002268
495,0.011315,0.003226,0.005581,0.001443
500,0.011017,0.003626,0.006046,0.000901
505,0.010519,0.004044,0.006501,0.000555
510,0.009842,0.004475,0.006939,0.00034
515,0.008956,0.004879,0.007305,0.000206
520,0.00798,0.005279,0.007638,0.000125
525,0.006951,0.005664,0.007921,0.000077
530,0.005923,0.006036,0.008156,0.000047
535,0.004933,0.006391,0.008335,0.000029
540,0.004011,0.006722,0.008448,0.000018
545,0.003184,0.007036,0.008496,0.000011
550,0.00246,0.007317,0.008459,0.000007
555,0.001848,0.007553,0.00832,0.000005
560,0.001352,0.007745,0.008085,0.000003
565,0.000962,0.007868,0.007733,0.000002
570,0.00067,0.007931,0.007291,0.000001
575,0.000456,0.00791,0.006751,0.000001
580,0.000307,0.007816,0.006147,0.000001
585,0.000204,0.007644,0.0055,0
590,0.000134,0.007392,0.004828,0
595,0.000088,0.007046,0.004146,0
600,0.000058,0.006627,0.003485,0
605,0.000038,0.006139,0.002861,0
610,0.000025,0.005602,0.002294,0
615,0.000016,0.005031,0.001796,0
620,0.000011,0.004444,0.001373,0
625,0.000007,0.003847,0.001024,0
630,0.000005,0.003269,0.000748,0
635,0.000003,0.002723,0.000536,0
640,0.000002,0.002221,0.000379,0
645,0.000001,0.001772,0.000264,0
650,0.000001,0.001383,0.000182,0
655,0.000001,0.001057,0.000125,0
660,0,0.000793,0.000086,0
665,0,0.000583,0.000058,0
670,0,0.000423,0.00004,0
675,0,0.000302,0.000027,0
680,0,0.000214,0.000019,0
685,0,0.00015,0.000013,0
690,0,0.000105,0.000009,0
695,0,0.000073,0.000006,0
700,0,0.000051,0.000004,0
705,0,0.000035,0.000003,0
710,0,0.000025,0.000002,0
715,0,0.000017,0.000001,0
720,0,0.000012,0.000001,0
725,0,0.000008,0.000001,0
730,0,0.000006,0.000001,0
735,0,0.000004,0,0
740,0,0.000003,0,0
745,0,0.000002,0,0
750,0,0.000001,0,0
755,0,0.000001,0,0
760,0,0.000001,0,0
765,0,0.000001,0,0
770,0,0,0,0
775,0,0,0,0
780,0,0,0,0
