lambda,X,Y,Z
380,0,0,0
381,0,0,0
382,0,0,0
383,0,0,0
384,0,0,0
385,0,0,0
386,0,0,0
387,0,0,0
388,0,0,0
389,0,0,0
390,2.95E-03,4.08E-04,1.32E-02
391,3.58E-03,4.98E-04,1.60E-02
392,4.33E-03,6.06E-04,1.94E-02
393,5.24E-03,7.37E-04,2.34E-02
394,6.33E-03,8.93E-04,2.84E-02
395,7.64E-03,1.08E-03,3.42E-02
396,9.20E-03,1.30E-03,4.13E-02
397,1.10E-02,1.55E-03,4.97E-02
398,1.32E-02,1.85E-03,5.96E-02
399,1.58E-02,2.20E-03,7.13E-02
400,1.88E-02,2.59E-03,8.51E-02
401,2.23E-02,3.04E-03,1.01E-01
402,2.63E-02,3.54E-03,1.20E-01
403,3.09E-02,4.11E-03,1.41E-01
404,3.61E-02,4.75E-03,1.65E-01
405,4.20E-02,5.47E-03,1.93E-01
406,4.87E-02,6.29E-03,2.24E-01
407,5.61E-02,7.19E-03,2.58E-01
408,6.43E-02,8.18E-03,2.96E-01
409,7.32E-02,9.26E-03,3.38E-01
410,8.28E-02,1.04E-02,3.83E-01
411,9.30E-02,1.16E-02,4.32E-01
412,1.04E-01,1.29E-02,4.83E-01
413,1.15E-01,1.42E-02,5.38E-01
414,1.27E-01,1.56E-02,5.96E-01
415,1.40E-01,1.71E-02,6.57E-01
416,1.53E-01,1.87E-02,7.21E-01
417,1.66E-01,2.04E-02,7.88E-01
418,1.80E-01,2.21E-02,8.56E-01
419,1.94E-01,2.39E-02,9.25E-01
420,2.08E-01,2.58E-02,9.93E-01
421,2.21E-01,2.76E-02,1.06E+00
422,2.33E-01,2.95E-02,1.12E+00
423,2.45E-01,3.13E-02,1.18E+00
424,2.57E-01,3.33E-02,1.25E+00
425,2.69E-01,3.53E-02,1.31E+00
426,2.81E-01,3.74E-02,1.37E+00
427,2.93E-01,3.97E-02,1.44E+00
428,3.06E-01,4.20E-02,1.50E+00
429,3.17E-01,4.45E-02,1.57E+00
430,3.28E-01,4.70E-02,1.62E+00
431,3.38E-01,4.96E-02,1.68E+00
432,3.47E-01,5.22E-02,1.73E+00
433,3.54E-01,5.49E-02,1.78E+00
434,3.62E-01,5.77E-02,1.82E+00
435,3.69E-01,6.05E-02,1.87E+00
436,3.77E-01,6.33E-02,1.91E+00
437,3.85E-01,6.62E-02,1.96E+00
438,3.92E-01,6.91E-02,2.01E+00
439,3.98E-01,7.19E-02,2.04E+00
440,4.03E-01,7.47E-02,2.08E+00
441,4.05E-01,7.74E-02,2.10E+00
442,4.06E-01,8.00E-02,2.11E+00
443,4.06E-01,8.27E-02,2.12E+00
444,4.05E-01,8.54E-02,2.13E+00
445,4.04E-01,8.82E-02,2.13E+00
446,4.03E-01,9.12E-02,2.14E+00
447,4.03E-01,9.43E-02,2.14E+00
448,4.01E-01,9.75E-02,2.15E+00
449,3.98E-01,1.01E-01,2.14E+00
450,3.93E-01,1.04E-01,2.13E+00
451,3.86E-01,1.07E-01,2.10E+00
452,3.78E-01,1.10E-01,2.07E+00
453,3.68E-01,1.13E-01,2.03E+00
454,3.58E-01,1.16E-01,1.99E+00
455,3.48E-01,1.20E-01,1.95E+00
456,3.38E-01,1.23E-01,1.91E+00
457,3.29E-01,1.27E-01,1.87E+00
458,3.19E-01,1.32E-01,1.84E+00
459,3.10E-01,1.36E-01,1.80E+00
460,3.01E-01,1.41E-01,1.77E+00
461,2.92E-01,1.47E-01,1.74E+00
462,2.83E-01,1.52E-01,1.70E+00
463,2.74E-01,1.58E-01,1.67E+00
464,2.64E-01,1.64E-01,1.63E+00
465,2.53E-01,1.70E-01,1.58E+00
466,2.42E-01,1.76E-01,1.53E+00
467,2.30E-01,1.82E-01,1.48E+00
468,2.17E-01,1.88E-01,1.43E+00
469,2.04E-01,1.94E-01,1.37E+00
470,1.91E-01,2.00E-01,1.31E+00
471,1.78E-01,2.06E-01,1.25E+00
472,1.65E-01,2.12E-01,1.19E+00
473,1.53E-01,2.18E-01,1.13E+00
474,1.40E-01,2.25E-01,1.07E+00
475,1.28E-01,2.31E-01,1.01E+00
476,1.17E-01,2.38E-01,9.54E-01
477,1.06E-01,2.45E-01,9.00E-01
478,9.51E-02,2.53E-01,8.47E-01
