lambda,sensitivity
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,4.08E-04
391,4.98E-04
392,6.06E-04
393,7.37E-04
394,8.93E-04
395,1.08E-03
396,1.30E-03
397,1.55E-03
398,1.85E-03
399,2.20E-03
400,2.59E-03
401,3.04E-03
402,3.54E-03
403,4.11E-03
404,4.75E-03
405,5.47E-03
406,6.29E-03
407,7.19E-03
408,8.18E-03
409,9.26E-03
410,1.04E-02
411,1.16E-02
412,1.29E-02
413,1.42E-02
414,1.56E-02
415,1.71E-02
416,1.87E-02
417,2.04E-02
418,2.21E-02
419,2.39E-02
420,2.58E-02
421,2.76E-02
422,2.95E-02
423,3.13E-02
424,3.33E-02
425,3.53E-02
426,3.74E-02
427,3.97E-02
428,4.20E-02
429,4.45E-02
430,4.70E-02
431,4.96E-02
432,5.22E-02
433,5.49E-02
434,5.77E-02
435,6.05E-02
436,6.33E-02
437,6.62E-02
438,6.91E-02
439,7.19E-02
440,7.47E-02
441,7.74E-02
442,8.00E-02
443,8.27E-02
444,8.54E-02
445,8.82E-02
446,9.12E-02
447,9.43E-02
448,9.75E-02
449,1.01E-01
450,1.04E-01
451,1.07E-01
452,1.10E-01
453,1.13E-01
454,1.16E-01
455,1.20E-01
456,1.23E-01
457,1.27E-01
458,1.32E-01
459,1.36E-01
460,1.41E-01
461,1.47E-01
462,1.52E-01
463,1.58E-01
464,1.64E-01
465,1.70E-01
466,1.76E-01
467,1.82E-01
468,1.88E-01
469,1.94E-01
470,2.00E-01
471,2.06E-01
472,2.12E-01
473,2.18E-01
474,2.25E-01
475,2.31E-01
476,2.38E-01
477,2.45E-01
478,2.53E-01
479,2.60E-01
480,2.68E-01
481,2.77E-01
482,2.85E-01
483,2.94E-01
484,3.02E-01
485,3.11E-01
486,3.19E-01
487,3.28E-01
488,3.37E-01
489,3.46E-01
490,3.55E-01
491,3.66E-01
492,3.78E-01
493,3.90E-01
494,4.02E-01
495,4.15E-01
496,4.27E-01
497,4.40E-01
498,4.52E-01
499,4.65E-01
500,4.78E-01
501,4.92E-01
502,5.05E-01
503,5.20E-01
504,5.34E-01
505,5.49E-01
506,5.64E-01
507,5.79E-01
508,5.94E-01
509,6.10E-01
510,6.25E-01
511,6.40E-01
512,6.55E-01
513,6.70E-01
514,6.86E-01
515,7.01E-01
516,7.17E-01
517,7.33E-01
518,7.49E-01
519,7.64E-01
520,7.79E-01
521,7.92E-01
522,8.05E-01
523,8.16E-01
524,8.27E-01
525,8.38E-01
526,8.47E-01
527,8.57E-01
528,8.66E-01
529,8.75E-01
530,8.83E-01
531,8.91E-01
532,8.99E-01
533,9.07E-01
534,9.15E-01
535,9.23E-01
536,9.32E-01
537,9.41E-01
538,9.50E-01
539,9.59E-01
