lambda,L,M,S
380,0,0,0
381,0,0,0
382,0,0,0
383,0,0,0
384,0,0,0
385,0,0,0
386,0,0,0
387,0,0,0
388,0,0,0
389,0,0,0
390,4.08E-04,3.58E-04,6.14E-03
391,4.97E-04,4.39E-04,7.44E-03
392,6.05E-04,5.36E-04,9.02E-03
393,7.34E-04,6.54E-04,1.09E-02
394,8.87E-04,7.96E-04,1.32E-02
395,1.07E-03,9.65E-04,1.60E-02
396,1.28E-03,1.17E-03,1.92E-02
397,1.53E-03,1.40E-03,2.31E-02
398,1.82E-03,1.68E-03,2.78E-02
399,2.16E-03,2.00E-03,3.32E-02
400,2.54E-03,2.37E-03,3.96E-02
401,2.97E-03,2.79E-03,4.71E-02
402,3.46E-03,3.27E-03,5.57E-02
403,4.01E-03,3.82E-03,6.56E-02
404,4.62E-03,4.43E-03,7.69E-02
405,5.32E-03,5.12E-03,8.98E-02
406,6.09E-03,5.90E-03,1.04E-01
407,6.95E-03,6.78E-03,1.20E-01
408,7.90E-03,7.75E-03,1.38E-01
409,8.91E-03,8.82E-03,1.57E-01
410,9.99E-03,9.99E-03,1.79E-01
411,1.11E-02,1.12E-02,2.01E-01
412,1.23E-02,1.26E-02,2.25E-01
413,1.35E-02,1.40E-02,2.51E-01
414,1.47E-02,1.56E-02,2.78E-01
415,1.60E-02,1.73E-02,3.06E-01
416,1.74E-02,1.90E-02,3.36E-01
417,1.88E-02,2.10E-02,3.67E-01
418,2.03E-02,2.30E-02,3.99E-01
419,2.19E-02,2.51E-02,4.31E-01
420,2.34E-02,2.73E-02,4.63E-01
421,2.49E-02,2.96E-02,4.93E-01
422,2.64E-02,3.20E-02,5.23E-01
423,2.79E-02,3.44E-02,5.52E-01
424,2.94E-02,3.70E-02,5.81E-01
425,3.09E-02,3.97E-02,6.10E-01
426,3.25E-02,4.25E-02,6.39E-01
427,3.43E-02,4.55E-02,6.70E-01
428,3.61E-02,4.87E-02,7.00E-01
429,3.79E-02,5.20E-02,7.29E-01
430,3.98E-02,5.55E-02,7.57E-01
431,4.17E-02,5.92E-02,7.82E-01
432,4.36E-02,6.30E-02,8.06E-01
433,4.55E-02,6.69E-02,8.28E-01
434,4.74E-02,7.09E-02,8.49E-01
435,4.94E-02,7.50E-02,8.70E-01
436,5.14E-02,7.92E-02,8.92E-01
437,5.35E-02,8.33E-02,9.13E-01
438,5.55E-02,8.75E-02,9.34E-01
439,5.75E-02,9.17E-02,9.52E-01
440,5.95E-02,9.58E-02,9.67E-01
441,6.13E-02,9.98E-02,9.77E-01
442,6.31E-02,1.04E-01,9.84E-01
443,6.49E-02,1.08E-01,9.88E-01
444,6.67E-02,1.12E-01,9.91E-01
445,6.87E-02,1.16E-01,9.93E-01
446,7.07E-02,1.21E-01,9.96E-01
447,7.29E-02,1.25E-01,9.99E-01
448,7.51E-02,1.30E-01,1.00E+00
449,7.73E-02,1.35E-01,9.98E-01
450,7.96E-02,1.39E-01,9.91E-01
451,8.17E-02,1.44E-01,9.80E-01
452,8.39E-02,1.48E-01,9.64E-01
453,8.61E-02,1.53E-01,9.46E-01
454,8.83E-02,1.57E-01,9.26E-01
455,9.08E-02,1.62E-01,9.07E-01
456,9.34E-02,1.67E-01,8.89E-01
457,9.64E-02,1.73E-01,8.71E-01
458,9.95E-02,1.79E-01,8.55E-01
459,1.03E-01,1.86E-01,8.39E-01
460,1.07E-01,1.93E-01,8.24E-01
461,1.11E-01,2.01E-01,8.08E-01
462,1.15E-01,2.08E-01,7.92E-01
463,1.19E-01,2.16E-01,7.76E-01
464,1.24E-01,2.24E-01,7.57E-01
465,1.28E-01,2.32E-01,7.37E-01
466,1.33E-01,2.40E-01,7.15E-01
467,1.38E-01,2.48E-01,6.91E-01
468,1.42E-01,2.56E-01,6.65E-01
469,1.47E-01,2.64E-01,6.38E-01
470,1.52E-01,2.71E-01,6.10E-01
471,1.56E-01,2.79E-01,5.82E-01
472,1.61E-01,2.87E-01,5.54E-01
473,1.66E-01,2.94E-01,5.26E-01
474,1.72E-01,3.02E-01,4.98E-01
475,1.77E-01,3.10E-01,4.71E-01
476,1.83E-01,3.19E-01,4.44E-01
477,1.89E-01,3.27E-01,4.19E-01
478,1.95E-01,3.36E-01,3.95E-01
