lambda,L,M,S
380,0,0,0
385,0,0,0
390,4.15E-04,3.68E-04,9.55E-03
395,1.05E-03,9.59E-04,2.38E-02
400,2.41E-03,2.27E-03,5.66E-02
405,4.83E-03,4.70E-03,1.22E-01
410,8.72E-03,8.79E-03,2.33E-01
415,1.34E-02,1.45E-02,3.81E-01
420,1.84E-02,2.17E-02,5.44E-01
425,2.29E-02,2.96E-02,6.74E-01
430,2.82E-02,3.95E-02,8.03E-01
435,3.41E-02,5.18E-02,9.04E-01
440,4.03E-02,6.48E-02,9.91E-01
445,4.49E-02,7.59E-02,9.92E-01
450,4.99E-02,8.71E-02,9.55E-01
455,5.53E-02,9.82E-02,8.60E-01
460,6.47E-02,1.16E-01,7.87E-01
465,8.07E-02,1.45E-01,7.38E-01
470,9.95E-02,1.76E-01,6.46E-01
475,1.19E-01,2.05E-01,5.16E-01
480,1.40E-01,2.36E-01,3.90E-01
485,1.64E-01,2.68E-01,2.90E-01
490,1.92E-01,3.04E-01,2.12E-01
495,2.33E-01,3.57E-01,1.61E-01
500,2.89E-01,4.28E-01,1.23E-01
505,3.60E-01,5.16E-01,8.89E-02
510,4.44E-01,6.16E-01,6.08E-02
515,5.36E-01,7.19E-01,4.28E-02
520,6.29E-01,8.17E-01,2.92E-02
525,7.05E-01,8.86E-01,1.94E-02
530,7.71E-01,9.36E-01,1.26E-02
535,8.26E-01,9.69E-01,8.09E-03
540,8.81E-01,9.95E-01,5.09E-03
545,9.19E-01,9.97E-01,3.17E-03
550,9.40E-01,9.77E-01,1.96E-03
555,9.66E-01,9.57E-01,1.20E-03
560,9.81E-01,9.18E-01,7.40E-04
565,9.94E-01,8.73E-01,4.56E-04
570,1.00E+00,8.14E-01,2.82E-04
575,9.92E-01,7.40E-01,1.75E-04
580,9.69E-01,6.53E-01,1.09E-04
585,9.56E-01,5.73E-01,6.90E-05
590,9.28E-01,4.93E-01,4.39E-05
595,8.86E-01,4.11E-01,2.82E-05
600,8.34E-01,3.34E-01,1.83E-05
605,7.75E-01,2.65E-01,1.21E-05
610,7.06E-01,2.05E-01,8.03E-06
615,6.31E-01,1.56E-01,5.42E-06
620,5.54E-01,1.17E-01,
625,4.80E-01,8.56E-02,
630,4.01E-01,6.21E-02,
635,3.28E-01,4.45E-02,
640,2.66E-01,3.14E-02,
645,2.13E-01,2.18E-02,
650,1.65E-01,1.54E-02,
655,1.25E-01,1.07E-02,
660,9.30E-02,7.30E-03,
665,6.85E-02,4.97E-03,
670,4.99E-02,3.44E-03,
675,3.58E-02,2.38E-03,
680,2.54E-02,1.64E-03,
685,1.77E-02,1.12E-03,
690,1.22E-02,7.61E-04,
695,8.47E-03,5.25E-04,
700,5.90E-03,3.65E-04,
705,4.09E-03,2.53E-04,
710,2.80E-03,1.74E-04,
715,1.92E-03,1.21E-04,
720,1.33E-03,8.42E-05,
725,9.18E-04,5.89E-05,
730,6.39E-04,4.16E-05,
735,4.46E-04,2.94E-05,
740,3.11E-04,2.09E-05,
745,2.19E-04,1.50E-05,
750,1.55E-04,1.08E-05,
755,1.10E-04,7.82E-06,
760,7.80E-05,5.69E-06,
765,5.56E-05,4.14E-06,
770,3.99E-05,3.03E-06,
775,2.86E-05,2.21E-06,
780,2.07E-05,1.63E-06,
785,1.50E-05,1.21E-06,
790,1.09E-05,8.99E-07,
795,7.98E-06,6.70E-07,
800,5.85E-06,5.03E-07,
805,4.31E-06,3.80E-07,
810,3.17E-06,2.86E-07,
815,2.34E-06,2.17E-07,
820,1.75E-06,1.65E-07,
825,1.30E-06,1.26E-07,
830,9.74E-07,9.53E-08,
